band,bandLabel,reclabel
Q376867,Timbuk3,Q2265719
Q375950,Velvet Acid Christ,Q4439915
Q375555,We Came as Romans,Q264980
Q375555,We Came as Romans,Q24884453
Q376035,American Hi-Fi,Q2016567
Q375382,Taylor Hawkins and the Coattail Riders,Q7798298
Q82179,Punch Brothers,Q1849138
Q94620,Information Society,Q7858059
Q83626,The Fuzztones,Q1397901
Q91178,Watchtower,Q703603
Q83814,Agent Orange,Q3909384
Q586990,Soul Embraced,Q305378
Q586990,Soul Embraced,Q4927762
Q591105,Impending Doom,Q1273666
Q591105,Impending Doom,Q2669433
Q587184,Kix,Q202440
Q587705,The Sea and Cake,Q448723
Q587687,Hayseed Dixie,Q5494088
Q588106,Forbidden,Q201607
Q588106,Forbidden,Q1113541
Q371372,Lard,Q438628
Q372706,The Last Goodnight,Q183412
Q371938,Chicago,Q183387
Q371938,Chicago,Q843402
Q569059,Mephisto Walz,Q1397901
Q567908,Venomous Concept,Q158867
Q567908,Venomous Concept,Q993066
Q568617,Grizzly Bear,Q543707
Q570025,Screeching Weasel,Q430070
Q570025,Screeching Weasel,Q605388
Q569808,Cacophony,Q1406986
Q570025,Screeching Weasel,Q1631774
Q583344,Mercury Rev,Q6312892
Q584523,New Years Day,Q158867
Q581703,The Lawrence Arms,Q605388
Q581703,The Lawrence Arms,Q1631774
Q584282,H2O,Q264980
Q584282,H2O,Q4923217
Q108674,Steel Train,Q960732
Q109871,Anthrax,Q158886
Q109871,Anthrax,Q190585
Q109871,Anthrax,Q477213
Q109871,Anthrax,Q726251
Q597911,Chelsea Grin,Q2154708
Q599609,The Romantics,Q6991340
Q597972,The Fire Theft,Q656752
Q104625,Far East Movement,Q231694
Q104625,Far East Movement,Q5253945
Q104625,Far East Movement,Q21091
Q430224,Buckcherry,Q202440
Q430224,Buckcherry,Q1899781
Q430224,Buckcherry,Q4038001
Q430638,Purple Ribbon All-Stars,Q7261457
Q432554,Axe,Q304509
Q428899,Frijid Pink,Q2792712
Q431355,Modest Mouse,Q216364
Q159351,Run-D.M.C.,Q664167
Q159351,Run-D.M.C.,Q770103
Q159351,Run-D.M.C.,Q3922628
Q542367,Nitty Gritty Dirt Band,Q193023
Q542367,Nitty Gritty Dirt Band,Q843402
Q542367,Nitty Gritty Dirt Band,Q1392321
Q542977,Two Gallants,Q1758109
Q543390,Pelican,Q2718029
Q542727,Twinz,Q1199011
Q542490,Groove Theory,Q183387
Q542490,Groove Theory,Q216364
Q544121,Them Crooked Vultures,Q330629
Q516402,Steps Ahead,Q726251
Q516402,Steps Ahead,Q1326376
Q516712,Chic,Q202440
Q516712,Chic,Q304971
Q513910,Judge,Q1759336
Q511277,The Fabulous Thunderbirds,Q183387
Q550602,Poison,Q193023
Q550602,Poison,Q1123266
Q555623,Edward Sharpe and the Magnetic Zeros,Q385558
Q551569,The Museum,Q4835417
Q519031,Stormtroopers of Death,Q158886
Q519031,Stormtroopers of Death,Q477213
Q516747,Electric Frankenstein,Q1636558
Q519526,South Central Cartel,Q654283
Q519515,Falling in Reverse,Q726153
Q517472,Exhumed,Q657558
Q548844,Mastodon,Q657558
Q547666,Animals as Leaders,Q2001931
Q549768,Dying Fetus,Q657558
Q549768,Dying Fetus,Q8000759
Q548450,Tripping Daisy,Q5305294
Q547648,The Real Kids,Q7305106
Q178661,The Dandy Warhols,Q193023
Q178594,The Fall of Troy,Q264980
Q574663,Anti-Flag,Q202585
Q574663,Anti-Flag,Q266645
Q574663,Anti-Flag,Q277795
Q574663,Anti-Flag,Q605388
Q574663,Anti-Flag,Q1157099
Q526292,On Broken Wings,Q3734513
Q526270,Fozzy,Q158867
Q526270,Fozzy,Q477213
Q526477,Master,Q158886
Q528686,Heart of Gold Band,Q5692300
Q451822,Buck-O-Nine,Q1631774
Q451822,Buck-O-Nine,Q1758003
Q452817,Rain Parade,Q1123266
Q443266,Charles Wright & the Watts 103rd Street Rhythm Band,Q843402
Q444236,Buckshot LeFonque,Q330629
Q443135,The Warlocks,Q2909797
Q449083,Company Flow,Q1426154
Q446422,Maze,Q193023
Q452776,Vile,Q964438
Q452146,The Tornadoes,Q3186066
Q183048,The Beach Boys,Q193023
Q183048,The Beach Boys,Q843402
Q183048,The Beach Boys,Q990796
Q183048,The Beach Boys,Q5031935
Q182622,US5,Q56826329
Q373992,Arcade,Q216364
Q375364,No Use for a Name,Q605388
Q375364,No Use for a Name,Q1157099
Q374593,Blaque,Q183387
Q373954,Dawes,Q128280
Q374679,Lambchop,Q1921640
Q373670,Phobia,Q964438
Q375128,Gumball,Q183387
Q534389,Best Coast,Q11343543
Q533658,Angelcorpse,Q56598769
Q537954,August Burns Red,Q305378
Q537954,August Burns Red,Q1399294
Q537254,Angels of Light,Q2161263
Q535853,The Bronx,Q1810123
Q535853,The Bronx,Q5190199
Q533658,Angelcorpse,Q37479
Q180880,Pantera,Q585643
Q179652,Steel Panther,Q1025106
Q179652,Steel Panther,Q16995752
Q183546,Order of Ennead,Q838544
Q381886,Aesthetic Perfection,Q2427366
Q384023,Cinderella,Q165745
Q379019,Contraband,Q16909492
Q383398,The Main Ingredient,Q7303751
Q378992,The Union Underground,Q183387
Q385618,Melvins,Q202440
Q385618,Melvins,Q438628
Q385618,Melvins,Q2930498
Q384762,Soulsonic Force,Q1644016
Q384424,Hey Violet,Q387539
Q384603,Bonded by Blood,Q838544
Q388262,Burning Image,Q438628
Q389870,Lady Antebellum,Q193023
Q389870,Lady Antebellum,Q5035920
Q388721,MD.45,Q193023
Q389689,Rilo Kiley,Q809177
Q389689,Rilo Kiley,Q843402
Q388861,Moss Icon,Q7921572
Q389689,Rilo Kiley,Q64485314
Q389089,After the Burial,Q2117925
Q523317,Still Remains,Q18628
Q523957,Funkadelic,Q7987135
Q524387,The Nation of Ulysses,Q1228431
Q524822,Cobra Starship,Q1046066
Q524822,Cobra Starship,Q2291171
Q524822,Cobra Starship,Q5190199
Q580121,Charred Walls of the Damned,Q756320
Q578979,Slint,Q1853623
Q578853,Story of the Year,Q726153
Q578853,Story of the Year,Q2016567
Q580823,The Impressions,Q287177
Q579219,Antioch Arrow,Q5598069
Q564968,Tally Hall,Q202440
Q558627,Skeletonwitch,Q2001931
Q566173,Forever the Sickest Kids,Q1399294
Q566173,Forever the Sickest Kids,Q4005789
Q567904,Foreign Born,Q1703395
Q378024,Paths of Possession,Q756320
Q377840,Styles of Beyond,Q1025919
Q378491,Player,Q778792
Q377387,Gravediggaz,Q5529760
Q378212,Roxx Gang,Q203059
Q378958,The Black Crowes,Q183387
Q378958,The Black Crowes,Q466649
Q378958,The Black Crowes,Q1191537
Q420880,They Might Be Giants,Q54860
Q420880,They Might Be Giants,Q385558
Q420880,They Might Be Giants,Q477213
Q420880,They Might Be Giants,Q726251
Q420880,They Might Be Giants,Q809177
Q420880,They Might Be Giants,Q2164531
Q420880,They Might Be Giants,Q2883714
Q420880,They Might Be Giants,Q3933535
Q420880,They Might Be Giants,Q6668457
Q420880,They Might Be Giants,Q8074743
Q880581,Black Stone Cherry,Q18628
Q878934,Bitter:Sweet,Q7268869
Q880681,Blackalicious,Q2917738
Q880605,Black Tusk,Q657558
Q880422,Black Moon,Q749583
Q880218,Black Dice,Q1153070
Q880673,Black 'n Blue,Q212699
Q880845,Blackhawk,Q183387
Q880350,Black Kids,Q183387
Q880120,Black Breath,Q1848896
Q455320,Love/Hate,Q183387
Q457731,Vision of Disorder,Q18628
Q456919,Amber Pacific,Q942820
Q456058,The Bled,Q2154708
Q456516,The Four Freshmen,Q193023
Q456190,Never Shout Never,Q843402
Q456190,Never Shout Never,Q64485314
Q743790,Jungle Rot,Q1636558
Q743790,Jungle Rot,Q56598769
Q747112,Dag Nasty,Q726153
Q747112,Dag Nasty,Q1228431
Q747112,Dag Nasty,Q1759336
Q744604,Assorted Jelly Beans,Q537118
Q743982,The Turbo A.C.'s,Q4923217
Q744264,Winter,Q613837
Q744809,The Like,Q212699
Q744809,The Like,Q3038347
Q546603,Ramona Falls,Q809177
Q546207,Rat at Rat R,Q3394853
Q547272,Animal Collective,Q1238400
Q547272,Animal Collective,Q1759608
Q547272,Animal Collective,Q2589723
Q546534,Morningwood,Q193023
Q189635,Eagles,Q155152
Q189635,Eagles,Q193023
Q189635,Eagles,Q212699
Q189635,Eagles,Q1998195
Q386689,Sweet Inspirations,Q202440
Q387596,The Panic Channel,Q193023
Q388213,We Are Scientists,Q203059
Q388213,We Are Scientists,Q1973834
Q387820,Romeo Void,Q4637552
Q386747,Vicious Rumors,Q1406986
Q388216,Deee-Lite,Q726251
Q391969,MGMT,Q183387
Q391969,MGMT,Q330629
Q391969,MGMT,Q5034033
Q575835,Semi Precious Weapons,Q7299616
Q578270,Explosions in the Sky,Q1327710
Q578376,Clutch,Q183387
Q578376,Clutch,Q202440
Q578376,Clutch,Q838544
Q395414,Agoraphobic Nosebleed,Q657558
Q402725,Will Haven,Q4035084
Q393515,Aghora,Q1548644
Q395013,Agnostic Front,Q158886
Q395013,Agnostic Front,Q726153
Q395013,Agnostic Front,Q7295379
Q884137,Blind Illusion,Q1113541
Q884131,Blind Idiot God,Q2997584
Q884131,Blind Idiot God,Q18353572
Q883182,Blaze,Q43327
Q883442,Bleed the Dream,Q7968897
Q883444,Bleed the Sky,Q158886
Q880845,Blackhawk,Q1066294
Q883293,Bleach,Q2297042
Q883900,Blessid Union of Souls,Q5323512
Q542062,Swashbuckle,Q158886
Q539631,Evergreen Terrace,Q756320
Q538199,Crocodiles,Q1397914
Q541737,Fastball,Q477213
Q542073,L.A. Guns,Q700359
Q541043,Eighteen Visions,Q5056973
Q188626,Sonic Youth,Q2311775
Q188626,Sonic Youth,Q2906225
Q188626,Sonic Youth,Q3047114
Q188626,Sonic Youth,Q3394853
Q392379,The Desert Rose Band,Q2338889
Q392379,The Desert Rose Band,Q3699593
Q392768,Agent Steel,Q158886
Q574919,Slaughterhouse,Q568246
Q575400,Sugar Ray,Q202440
Q575789,Odd Future,Q6349262
Q425977,Warrior,Q304509
Q426068,...And You Will Know Us by the Trail of Dead,Q2079912
Q507602,Britny Fox,Q183387
Q502802,Deceased,Q657558
Q505253,The GTOs,Q1712125
Q506314,Deicide,Q18628
Q505971,Fear Before,Q264980
Q505971,Fear Before,Q2154708
Q502660,Lower Class Brats,Q3925631
Q501784,I'm Not a Gun,Q1093882
Q506314,Deicide,Q158867
Q506314,Deicide,Q838544
Q188464,Pixies,Q238095
Q188464,Pixies,Q726251
Q178134,The Isley Brothers,Q202440
Q178134,The Isley Brothers,Q216364
Q178134,The Isley Brothers,Q43327
Q178549,Counting Crows,Q193023
Q178549,Counting Crows,Q212699
Q178549,Counting Crows,Q2996526
Q182223,Maroon 5,Q277626
Q182223,Maroon 5,Q645889
Q181684,Against Me!,Q605388
Q181684,Against Me!,Q7200857
Q507327,Allman Brothers Band,Q216364
Q507327,Allman Brothers Band,Q585643
Q507327,Allman Brothers Band,Q664167
Q507327,Allman Brothers Band,Q700359
Q507327,Allman Brothers Band,Q1347984
Q507327,Allman Brothers Band,Q1984458
Q509540,Bigelf,Q1146096
Q797889,Flying Saucer Attack,Q5692619
Q509886,Reel 2 Real,Q833007
Q507863,Gwar,Q1820549
Q190155,Van Halen,Q843402
Q390111,Against All Authority,Q942820
Q507007,Pandora's Box,Q203059
Q114057,The Men,Q7397064
Q111768,Little Caesar,Q212699
Q111579,Culprit,Q1406986
Q753598,Rascal Flatts,Q2902300
Q753598,Rascal Flatts,Q3269698
Q753827,Ataxia,Q750315
Q748499,Ui,Q1131655
Q749273,Thin White Rope,Q3753713
Q749502,Five Finger Death Punch,Q183412
Q747512,The Moldy Peaches,Q1347984
Q747812,The Frustrators,Q355175
Q455060,Far,Q216364
Q454897,Willard Grant Conspiracy,Q6675957
Q385620,Goldie and the Gingerbreads,Q557632
Q385916,The Briefs,Q797236
Q385841,The McCoys,Q3438138
Q385980,The Explosion,Q1115142
Q197230,16 Horsepower,Q277626
Q197230,16 Horsepower,Q438628
Q200769,The Flying Burrito Brothers,Q183387
Q200769,The Flying Burrito Brothers,Q277626
Q886039,Blues Project,Q726251
Q886047,Blues Traveler,Q277626
Q885763,Blue Man Group,Q50133002
Q888972,Sweet Sensation,Q585643
Q888972,Sweet Sensation,Q7021106
Q890064,Body Count,Q158867
Q890064,Body Count,Q2117925
Q885829,Blue October,Q38903
Q904039,Breathe Carolina,Q160732
Q904039,Breathe Carolina,Q183387
Q904039,Breathe Carolina,Q1399294
Q904039,Breathe Carolina,Q2154708
Q904921,The Sonics,Q6180616
Q905438,Dilated Peoples,Q193023
Q187179,Love Equals Death,Q605388
Q187219,Zeke,Q657558
Q187219,Zeke,Q726153
Q186318,Four Year Strong,Q2291171
Q184827,Tool,Q127289
Q763887,Wolves in the Throne Room,Q1848896
Q762601,Chairlift,Q6363244
Q758381,Au Revoir Simone,Q784001
Q761489,Pour Habit,Q605388
Q762395,DVDA,Q843402
Q762395,DVDA,Q64485314
Q758845,Audio Adrenaline,Q3314894
Q403981,Aiden,Q1636558
Q404317,Saigon Kick,Q202440
Q406379,Norma Jean,Q305378
Q406379,Norma Jean,Q2297042
Q403300,SMV,Q745362
Q405269,Cattle Decapitation,Q756320
Q464036,The Monkees,Q202585
Q464036,The Monkees,Q627091
Q464036,The Monkees,Q664167
Q464036,The Monkees,Q4883239
Q464036,The Monkees,Q5144791
Q390684,Trivium,Q18628
Q390380,Unwound,Q1741329
Q390300,Agalloch,Q2413622
Q390300,Agalloch,Q7248324
Q390300,Agalloch,Q16960039
Q390684,Trivium,Q700115
Q265222,NOFX,Q605388
Q265222,NOFX,Q726153
Q265222,NOFX,Q3869170
Q783278,The Dovells,Q821802
Q783088,Inside Out (banda),Q1759336
Q778278,Murderdolls,Q18628
Q782763,Real Estate,Q1238400
Q782763,Real Estate,Q11343543
Q782889,Aventura,Q3001888
Q462709,Killswitch Engage,Q18628
Q462709,Killswitch Engage,Q675208
Q462770,Juice Crew,Q1107750
Q767949,I Hate Myself,Q1157038
Q769379,Ludicra,Q438628
Q768621,Hanson,Q38903
Q767148,Novembers Doom,Q790187
Q767569,Through the Eyes of the Dead,Q2001931
Q768658,Telefon Tel Aviv,Q794724
Q765947,Augustana,Q216364
Q749621,Love Battery,Q778673
Q749621,Love Battery,Q2930498
Q749546,Terror Squad,Q202440
Q749546,Terror Squad,Q1273666
Q749546,Terror Squad,Q7392802
Q528846,Further Seems Forever,Q2297042
Q530362,The Mothers of Invention,Q1124849
Q528912,Crowbar,Q3249038
Q530886,The Ronettes,Q2984481
Q268160,The White Stripes,Q21077
Q267004,Devils Brigade,Q1239845
Q266782,Combichrist,Q2333358
Q266865,Guttermouth,Q726153
Q266865,Guttermouth,Q5304416
Q268160,The White Stripes,Q377453
Q268160,The White Stripes,Q778673
Q268160,The White Stripes,Q843402
Q268160,The White Stripes,Q2737528
Q751272,Sworn Enemy,Q158867
Q751272,Sworn Enemy,Q1636558
Q751819,Hem,Q1029135
Q751819,Hem,Q4788909
Q749979,Béla Fleck and the Flecktones,Q183387
Q749979,Béla Fleck and the Flecktones,Q843402
Q752410,House of Pain,Q1644016
Q749979,Béla Fleck and the Flecktones,Q64485314
Q750954,Filter,Q645889
Q898820,Mudhoney,Q645889
Q898820,Mudhoney,Q778673
Q899341,Suicidal Tendencies,Q158886
Q899341,Suicidal Tendencies,Q1470264
Q268359,Hatebreed,Q1273666
Q268359,Hatebreed,Q1636558
Q482477,Blink-182,Q304509
Q464109,Scissor Sisters,Q155152
Q757859,Attack Attack!,Q2154708
Q757508,Atmosphere,Q726153
Q757508,Atmosphere,Q1634794
Q757762,Atrophy,Q18628
Q757605,Atomic Opera,Q756320
Q756704,Cake,Q1984458
Q757607,Atomic Tom,Q38903
Q474979,The Velvelettes,Q43327
Q482444,Matchbox Twenty,Q202440
Q482444,Matchbox Twenty,Q2002177
Q476140,"Ray, Goodman & Brown",Q1347948
Q474058,Tha Alkaholiks,Q528124
Q474058,Tha Alkaholiks,Q1273666
Q475075,Eve's Plum,Q4352944
Q474495,Ampere,Q1280145
Q478704,Casey Jones,Q3734513
Q475892,The Cyrkle,Q183387
Q475197,Lootpack,Q917511
Q205780,Tenacious D,Q183387
Q205780,Tenacious D,Q216364
Q205373,The Buckinghams,Q183387
Q205373,The Buckinghams,Q7865826
Q201669,Bad Religion,Q202440
Q201669,Bad Religion,Q726153
Q275252,Ivoryline,Q2297042
Q274944,8mm,Q5194640
Q274379,88 Fingers Louie,Q605388
Q276584,R5,Q387539
Q274867,8 Bold Souls,Q1839517
Q275770,Cymbals Eat Guitars,Q809177
Q277865,Fugazi,Q1228431
Q458265,Almanac Singers,Q1740336
Q458132,Pure Prairie League,Q202585
Q458561,The Pietasters,Q17110937
Q459390,Ambrosia,Q1780995
Q460007,Ambulance LTD,Q2283665
Q462148,Ultra Vivid Scene,Q238095
Q458326,Impetigo,Q8000759
Q460242,Little Brother,Q202440
Q459813,Bracket,Q264137
Q459813,Bracket,Q605388
Q428475,The Wolverines,Q1453295
Q426502,The Spinto Band,Q2883714
Q428899,Frijid Pink,Q1308364
Q428899,Frijid Pink,Q2733913
Q427104,Psyopus,Q756320
Q427104,Psyopus,Q2905412
Q891752,Bomb the Music Industry!,Q1631774
Q891752,Bomb the Music Industry!,Q7272886
Q891671,The Black Belles,Q377453
Q893007,Booker T. & the M.G.'s,Q202440
Q891276,Bold,Q1759336
Q892934,Boo-Yaa T.R.I.B.E.,Q190585
Q892934,Boo-Yaa T.R.I.B.E.,Q4639153
Q207731,Lamb of God,Q158886
Q207731,Lamb of God,Q216364
Q207731,Lamb of God,Q2905412
Q207731,Lamb of God,Q6518116
Q895897,Boyce Avenue,Q4636523
Q897757,Brand Nubian,Q664167
Q897757,Brand Nubian,Q726251
Q895463,Bowling for Soup,Q27184
Q894612,The Boswell Sisters,Q1470329
Q897754,Brand New,Q7808592
Q464860,American Head Charge,Q693194
Q465198,The Plimsouls,Q212699
Q464392,Epoxies,Q605388
Q464369,American Football,Q996818
Q464392,Epoxies,Q2333358
Q465595,Snapcase,Q264980
Q464564,The Royal Guardsmen,Q1503180
Q465595,Snapcase,Q1636558
Q466389,B. Bumble and the Stingers,Q723449
Q466370,Green on Red,Q1123266
Q467032,American Steel,Q605388
Q466992,The Lemon Pipers,Q304971
Q471205,Dillinger Four,Q605388
Q471205,Dillinger Four,Q942820
Q466840,The Soul Stirrers,Q533572
Q467933,The Chi-Lites,Q994175
Q471262,Authority Zero,Q2002177
Q278406,High on Fire,Q657558
Q278406,High on Fire,Q1273666
Q280821,Hazeldine,Q786296
Q280638,The Wrens,Q1473565
Q280638,The Wrens,Q4669861
Q278776,The Marketts,Q843402
Q281424,Little Joy,Q385558
Q277975,Fireworks,Q17151102
Q281888,Trouble Funk,Q190585
Q281888,Trouble Funk,Q3503043
