band,bandLabel,genre,genreLabel
Q43259,No Doubt,Q1606591,reggae fusion
Q159329,Fugees,Q11401,hip hop music
Q91178,Watchtower,Q484344,progressive metal
Q48992,Buffalo Springfield,Q186472,folk rock
Q102385,The Pussycat Dolls,Q211756,dance-pop
Q117669,Street Dogs,Q10922,hardcore punk
Q157497,Bloodhound Gang,Q11366,alternative rock
Q102385,The Pussycat Dolls,Q45981,rhythm and blues
Q43267,The Jackson 5,Q58339,disco
Q116936,The dB's,Q837837,power pop
Q122739,Bitch,Q211723,speed metal
Q48978,LMFAO,Q851213,electronic dance music
Q158611,+44,Q11366,alternative rock
Q118966,Black Oak Arkansas,Q852767,Southern rock
Q122898,The System,Q1298934,synth-pop
Q159329,Fugees,Q6010,rapping
Q116411,Steel Magnolia,Q83440,country music
Q43267,The Jackson 5,Q45981,rhythm and blues
Q58391,The Shins,Q183504,indie rock
Q159329,Fugees,Q45981,rhythm and blues
Q109871,Anthrax,Q38848,heavy metal
Q109871,Anthrax,Q483352,thrash metal
Q48978,LMFAO,Q1298934,synth-pop
Q59965,The Kingston Trio,Q235858,folk music
Q58391,The Shins,Q842324,indie pop
Q109871,Anthrax,Q211723,speed metal
Q58391,The Shins,Q186472,folk rock
Q102385,The Pussycat Dolls,Q850412,contemporary R&B
Q43267,The Jackson 5,Q131272,soul music
Q158611,+44,Q487914,pop punk
Q159329,Fugees,Q131272,soul music
Q159329,Fugees,Q438503,alternative hip hop
Q158462,Lynyrd Skynyrd,Q193355,blues rock
Q44637,Hollywood Undead,Q263734,nu metal
Q72349,Krewella,Q851213,electronic dance music
Q158462,Lynyrd Skynyrd,Q852767,Southern rock
Q71787,Widespread Panic,Q852767,Southern rock
Q55809,La Coka Nostra,Q966564,hardcore hip hop
Q72349,Krewella,Q20474,dubstep
Q72608,Big Star,Q837837,power pop
Q158462,Lynyrd Skynyrd,Q83270,hard rock
Q111768,Little Caesar,Q83270,hard rock
Q547272,Animal Collective,Q846119,psychedelic music
Q547272,Animal Collective,Q25094591,experimental pop
Q11647,Nine Inch Nails,Q193207,ambient music
Q44637,Hollywood Undead,Q877693,rap rock
Q125809,Robbers on High Street,Q183504,indie rock
Q127140,The Ink Spots,Q546359,doo-wop
Q72608,Big Star,Q83270,hard rock
Q104625,Far East Movement,Q784310,electro hop
Q104625,Far East Movement,Q601235,hip house
Q61113,Foster the People,Q11366,alternative rock
Q61113,Foster the People,Q842324,indie pop
Q43267,The Jackson 5,Q997481,bubblegum pop
Q127140,The Ink Spots,Q45981,rhythm and blues
Q104625,Far East Movement,Q1298934,synth-pop
Q547272,Animal Collective,Q217467,art rock
Q68061,Cage the Elephant,Q3071,punk rock
Q43267,The Jackson 5,Q164444,funk
Q547648,The Real Kids,Q837837,power pop
Q689160,B. T. Express,Q164444,funk
Q699534,Arrested Development,Q11401,hip hop music
Q114057,The Men,Q3071,punk rock
Q104625,Far East Movement,Q11401,hip hop music
Q693583,As I Lay Dying,Q183862,metalcore
Q128010,Fear Factory,Q483251,death metal
Q72349,Krewella,Q20502,house music
Q11647,Nine Inch Nails,Q325504,electronic rock
Q11647,Nine Inch Nails,Q208494,industrial metal
Q68061,Cage the Elephant,Q11366,alternative rock
Q162653,Seven Witches,Q57143,power metal
Q547272,Animal Collective,Q9778,electronic music
Q68061,Cage the Elephant,Q183504,indie rock
Q68061,Cage the Elephant,Q206159,psychedelic rock
Q68061,Cage the Elephant,Q9759,blues
Q111579,Culprit,Q38848,heavy metal
Q128012,Zappa Plays Zappa,Q8341,jazz
Q128010,Fear Factory,Q208494,industrial metal
Q688879,Armored Saint,Q38848,heavy metal
Q127259,Leaders of the New School,Q11401,hip hop music
Q691006,The Kentucky Headhunters,Q83440,country music
Q548450,Tripping Daisy,Q11366,alternative rock
Q547666,Animals as Leaders,Q484344,progressive metal
Q66413,Awolnation,Q325504,electronic rock
Q130563,Nevermore,Q57143,power metal
Q131366,Disturbed,Q11399,rock music
Q130563,Nevermore,Q483352,thrash metal
Q689306,Chicks on Speed,Q861823,electroclash
Q688879,Armored Saint,Q1133657,traditional heavy metal
Q68061,Cage the Elephant,Q211573,garage rock
Q129050,The Shangri-Las,Q37073,pop music
Q692668,Beirut,Q43343,contemporary folk music
Q131366,Disturbed,Q38848,heavy metal
Q134233,Jonas Brothers,Q37073,pop music
Q131366,Disturbed,Q83270,hard rock
Q567904,Foreign Born,Q37073,pop music
Q573017,Swans,Q11366,alternative rock
Q567908,Venomous Concept,Q10922,hardcore punk
Q539631,Evergreen Terrace,Q10922,hardcore punk
Q11647,Nine Inch Nails,Q487965,industrial music
Q132005,Strong Arm Steady,Q11401,hip hop music
Q548450,Tripping Daisy,Q11365,grunge
Q693583,As I Lay Dying,Q1046838,New Wave of American Heavy Metal
Q128443,The Smithereens,Q11366,alternative rock
Q569808,Cacophony,Q211723,speed metal
Q568617,Grizzly Bear,Q206159,psychedelic rock
Q541043,Eighteen Visions,Q183862,metalcore
Q538199,Crocodiles,Q183504,indie rock
Q130563,Nevermore,Q641357,avant-garde metal
Q130563,Nevermore,Q484344,progressive metal
Q543390,Pelican,Q41343,post-metal
Q544121,Them Crooked Vultures,Q83270,hard rock
Q696078,Stefy,Q484641,pop rock
Q72839,The Box Tops,Q885561,blue-eyed soul
Q73521,There for Tomorrow,Q11366,alternative rock
Q131366,Disturbed,Q20378,alternative metal
Q741836,Primus,Q49451,progressive rock
Q740430,Isis,Q41343,post-metal
Q685595,De La Soul,Q438503,alternative hip hop
Q569059,Mephisto Walz,Q485395,gothic rock
Q131366,Disturbed,Q263734,nu metal
Q573017,Swans,Q11399,rock music
Q741836,Primus,Q484344,progressive metal
Q742178,Jets to Brazil,Q11366,alternative rock
Q45165,System of a Down,Q20378,alternative metal
Q705045,Arsis,Q253918,melodic death metal
Q546603,Ramona Falls,Q183504,indie rock
Q542977,Two Gallants,Q183504,indie rock
Q546207,Rat at Rat R,Q181861,noise rock
Q544121,Them Crooked Vultures,Q11366,alternative rock
Q546534,Morningwood,Q11366,alternative rock
Q566173,Forever the Sickest Kids,Q10926,emo
Q743982,The Turbo A.C.'s,Q3071,punk rock
Q45165,System of a Down,Q11366,alternative rock
Q740430,Isis,Q217467,art rock
Q740430,Isis,Q484344,progressive metal
Q483407,Ramones,Q3071,punk rock
Q744809,The Like,Q11366,alternative rock
Q741836,Primus,Q11366,alternative rock
Q741836,Primus,Q20378,alternative metal
Q45165,System of a Down,Q83270,hard rock
Q686145,The Soviettes,Q3071,punk rock
Q45359,James Chance and the Contortions,Q3071,punk rock
Q162586,Dream Theater,Q49451,progressive rock
Q742626,Heaven & Hell,Q38848,heavy metal
Q45165,System of a Down,Q38848,heavy metal
Q685595,De La Soul,Q11401,hip hop music
Q684537,Clap Your Hands Say Yeah,Q183504,indie rock
Q685595,De La Soul,Q255406,jazz rap
Q45165,System of a Down,Q263734,nu metal
Q728600,The Sandpipers,Q186472,folk rock
Q719963,As Tall as Lions,Q183504,indie rock
Q744604,Assorted Jelly Beans,Q460674,ska punk
Q685595,De La Soul,Q876171,East Coast hip hop
Q45359,James Chance and the Contortions,Q8341,jazz
Q720369,Liquid Tension Experiment,Q49451,progressive rock
Q591105,Impending Doom,Q3071,punk rock
Q548844,Mastodon,Q83270,hard rock
Q742700,Rich Kids on LSD,Q10922,hardcore punk
Q728559,Quicksand,Q377910,post-hardcore
Q729149,Blackfoot,Q852767,Southern rock
Q474495,Ampere,Q3071,punk rock
Q570025,Screeching Weasel,Q10922,hardcore punk
Q535853,The Bronx,Q10922,hardcore punk
Q134541,The Black Eyed Peas,Q11401,hip hop music
Q537254,Angels of Light,Q11366,alternative rock
Q549768,Dying Fetus,Q483251,death metal
Q687785,The Four Seasons,Q11399,rock music
Q162586,Dream Theater,Q484344,progressive metal
Q548844,Mastodon,Q484344,progressive metal
Q683478,Lightning Bolt,Q181861,noise rock
Q682710,Extreme,Q38848,heavy metal
Q534389,Best Coast,Q183504,indie rock
Q683856,Becoming the Archetype,Q484344,progressive metal
Q688845,Armor for Sleep,Q11366,alternative rock
Q588106,Forbidden,Q483352,thrash metal
Q719893,As Cities Burn,Q377910,post-hardcore
Q688746,Self,Q11366,alternative rock
Q29779,3T,Q45981,rhythm and blues
Q474979,The Velvelettes,Q45981,rhythm and blues
Q474058,Tha Alkaholiks,Q429264,West Coast hip hop
Q485673,Garbage,Q11366,alternative rock
Q482444,Matchbox Twenty,Q11366,alternative rock
Q743790,Jungle Rot,Q483251,death metal
Q475075,Eve's Plum,Q11366,alternative rock
Q572821,Big Black,Q11366,alternative rock
Q542367,Nitty Gritty Dirt Band,Q83440,country music
Q542073,L.A. Guns,Q38848,heavy metal
Q542490,Groove Theory,Q45981,rhythm and blues
Q720369,Liquid Tension Experiment,Q484344,progressive metal
Q719893,As Cities Burn,Q753520,Christian rock
Q475892,The Cyrkle,Q37073,pop music
Q500350,Dirty Rotten Imbeciles,Q183862,metalcore
Q533658,Angelcorpse,Q483251,death metal
Q572821,Big Black,Q377910,post-hardcore
Q744264,Winter,Q2089511,death-doom
Q572821,Big Black,Q181861,noise rock
Q537954,August Burns Red,Q3071,punk rock
Q541737,Fastball,Q11366,alternative rock
Q684097,My Morning Jacket,Q183504,indie rock
Q537954,August Burns Red,Q183862,metalcore
Q12831,Gossip,Q58339,disco
Q572821,Big Black,Q598929,post-punk
Q485220,Good Charlotte,Q11366,alternative rock
Q134541,The Black Eyed Peas,Q37073,pop music
Q484595,Anal Cunt,Q188534,grindcore
Q484993,The Mars Volta,Q49451,progressive rock
Q726676,The Antlers,Q183504,indie rock
Q496287,Animotion,Q1298934,synth-pop
Q475197,Lootpack,Q11401,hip hop music
Q550602,Poison,Q188539,glam metal
Q732733,Asleep at the Wheel,Q83440,country music
Q134541,The Black Eyed Peas,Q170611,techno
Q695326,The Dodos,Q11366,alternative rock
Q548844,Mastodon,Q720959,sludge metal
Q476140,"Ray, Goodman & Brown",Q45981,rhythm and blues
Q747112,Dag Nasty,Q10922,hardcore punk
Q694447,The Other Ones,Q11399,rock music
Q695326,The Dodos,Q11399,rock music
Q478704,Casey Jones,Q10922,hardcore punk
Q728109,Iced Earth,Q38848,heavy metal
Q594559,Skin Yard,Q11365,grunge
Q594559,Skin Yard,Q11366,alternative rock
Q728170,Exodus,Q483352,thrash metal
Q136591,ZZ Top,Q7749,rock and roll
Q542062,Swashbuckle,Q483352,thrash metal
Q542727,Twinz,Q429264,West Coast hip hop
Q734302,Madina Lake,Q377910,post-hardcore
Q730859,Lars Frederiksen and the Bastards,Q383615,street punk
Q220730,The Killers,Q11366,alternative rock
Q499665,The Motels,Q187760,new wave
Q496287,Animotion,Q187760,new wave
Q136591,ZZ Top,Q9759,blues
Q28231,The Tokens,Q45981,rhythm and blues
Q28974,"Earth, Wind & Fire",Q45981,rhythm and blues
Q724406,Derek and the Dominos,Q193355,blues rock
Q474058,Tha Alkaholiks,Q965635,underground hip hop
Q726694,Neurotic Outsiders,Q3071,punk rock
Q472595,OutKast,Q11401,hip hop music
Q564968,Tally Hall,Q11366,alternative rock
Q694397,Burning Brides,Q83270,hard rock
Q690904,At the Drive-In,Q11366,alternative rock
Q689399,Darling Thieves,Q11366,alternative rock
Q690328,Ours,Q11366,alternative rock
Q28974,"Earth, Wind & Fire",Q164444,funk
Q16414,Death Cab for Cutie,Q183504,indie rock
Q28231,The Tokens,Q546359,doo-wop
Q485220,Good Charlotte,Q487914,pop punk
Q497822,How to Destroy Angels,Q487965,industrial music
Q558627,Skeletonwitch,Q483352,thrash metal
Q690465,Reparata and the Delrons,Q37073,pop music
Q594374,Dressy Bessy,Q183504,indie rock
Q16414,Death Cab for Cutie,Q10926,emo
Q842639,Jon Oliva's Pain,Q38848,heavy metal
Q842156,Lagwagon,Q10922,hardcore punk
Q471205,Dillinger Four,Q3071,punk rock
Q500350,Dirty Rotten Imbeciles,Q483352,thrash metal
Q488562,Angels & Airwaves,Q236913,space rock
Q487351,Anathallo,Q183504,indie rock
Q747112,Dag Nasty,Q542703,melodic hardcore
Q832086,Dave Matthews Band,Q11399,rock music
Q488562,Angels & Airwaves,Q11366,alternative rock
Q690543,Link 80,Q3071,punk rock
Q555623,Edward Sharpe and the Magnetic Zeros,Q1317816,indie folk
Q551569,The Museum,Q1379958,contemporary Christian music
Q736088,Wild Orchid,Q45981,rhythm and blues
Q738929,The Braxtons,Q45981,rhythm and blues
Q136591,ZZ Top,Q11399,rock music
Q733733,Asobi Seksu,Q11366,alternative rock
Q733863,Fountains of Wayne,Q11366,alternative rock
Q730951,Box Car Racer,Q11366,alternative rock
Q500350,Dirty Rotten Imbeciles,Q932977,crossover thrash
Q221358,Shadowfax,Q213121,New-age music
Q738661,Bodies of Water,Q183504,indie rock
Q841778,Mahavishnu Orchestra,Q105527,jazz fusion
Q471262,Authority Zero,Q10922,hardcore punk
Q738782,The Great Society,Q206159,psychedelic rock
Q726076,Selena Gomez & the Scene,Q484641,pop rock
Q690775,Maylene and the Sons of Disaster,Q183862,metalcore
Q507007,Pandora's Box,Q11399,rock music
Q736089,CKY,Q20378,alternative metal
Q830598,Savatage,Q484344,progressive metal
Q221358,Shadowfax,Q9778,electronic music
Q832141,Down,Q186170,doom metal
Q487342,Hues Corporation,Q37073,pop music
Q136591,ZZ Top,Q193355,blues rock
Q689921,Army of the Pharaohs,Q966564,hardcore hip hop
Q690261,The American Breed,Q211573,garage rock
Q747512,The Moldy Peaches,Q574651,anti-folk
Q747812,The Frustrators,Q3071,punk rock
Q705530,Art Ensemble of Chicago,Q211781,free jazz
Q709143,Pg. 99,Q11363,screamo
Q472595,OutKast,Q1253172,Southern hip hop
Q705142,Arsonists Get All the Girls,Q475221,deathcore
Q841778,Mahavishnu Orchestra,Q49451,progressive rock
Q136591,ZZ Top,Q83270,hard rock
Q953152,The Rockfords,Q11366,alternative rock
Q953289,Unified Theory,Q11366,alternative rock
Q371372,Lard,Q208494,industrial metal
Q482477,Blink-182,Q11366,alternative rock
Q482477,Blink-182,Q487914,pop punk
Q829138,TV on the Radio,Q11366,alternative rock
Q943934,Hate Eternal,Q483251,death metal
Q229496,3OH!3,Q784310,electro hop
Q229496,3OH!3,Q1298934,synth-pop
Q830761,Possessed,Q483251,death metal
Q830761,Possessed,Q483352,thrash metal
Q378491,Player,Q11399,rock music
Q841778,Mahavishnu Orchestra,Q1650296,instrumental rock
Q842639,Jon Oliva's Pain,Q484344,progressive metal
Q944911,Kid Dynamite,Q10922,hardcore punk
Q139154,Zac Brown Band,Q83440,country music
Q952805,MercyMe,Q1379958,contemporary Christian music
Q953083,I See Stars,Q377910,post-hardcore
Q839904,Dead Meadow,Q617240,stoner rock
Q943982,Rites of Spring,Q3071,punk rock
Q136591,ZZ Top,Q484641,pop rock
Q749546,Terror Squad,Q876171,East Coast hip hop
Q378491,Player,Q37073,pop music
Q830316,MC5,Q3071,punk rock
Q834362,The Bellrays,Q211573,garage rock
Q946099,Gloriana,Q83440,country music
Q953083,I See Stars,Q2084353,electronicore
Q961810,The Chariot,Q183862,metalcore
Q961210,Silkworm,Q183504,indie rock
Q827071,Four Hundred Years,Q10926,emo
Q836613,No Mercy,Q211756,dance-pop
Q943982,Rites of Spring,Q10922,hardcore punk
Q943982,Rites of Spring,Q10926,emo
Q944143,Integrity,Q183862,metalcore
Q749621,Love Battery,Q11365,grunge
Q223736,Velvet Revolver,Q83270,hard rock
Q944541,From First to Last,Q377910,post-hardcore
Q221358,Shadowfax,Q5069525,chamber jazz
Q837141,The Emotions,Q45981,rhythm and blues
Q221987,2AM Club,Q11366,alternative rock
Q485811,Fall Out Boy,Q188450,electropop
Q222918,2nd Chapter of Acts,Q1379958,contemporary Christian music
Q222517,Blackstreet,Q840065,new jack swing
Q593809,Assemblage 23,Q9778,electronic music
Q378212,Roxx Gang,Q188539,glam metal
Q377840,Styles of Beyond,Q965635,underground hip hop
Q377387,Gravediggaz,Q1139136,horrorcore
Q749502,Five Finger Death Punch,Q20378,alternative metal
Q945129,Film School,Q183504,indie rock
Q947198,D4L,Q1253172,Southern hip hop
Q946124,Little Feat,Q83270,hard rock
Q962528,The Chocolate Watchband,Q211573,garage rock
Q227525,36 Crazyfists,Q3071,punk rock
Q833732,Emanuel,Q377910,post-hardcore
Q834169,I:Scintilla,Q968730,industrial rock
Q959681,The Kills,Q211573,garage rock
Q229781,3rd Bass,Q11401,hip hop music
Q749273,Thin White Rope,Q617240,stoner rock
Q238263,4 Non Blondes,Q11366,alternative rock
Q749979,Béla Fleck and the Flecktones,Q835891,funk rock
Q231567,Zwan,Q11366,alternative rock
Q748499,Ui,Q209137,post-rock
Q749979,Béla Fleck and the Flecktones,Q236913,space rock
Q492653,Casa Loma Orchestra,Q8341,jazz
Q493098,Tsunami Bomb,Q3071,punk rock
Q378491,Player,Q217191,soft rock
Q378024,Paths of Possession,Q253918,melodic death metal
Q485811,Fall Out Boy,Q484641,pop rock
Q749979,Béla Fleck and the Flecktones,Q213714,bluegrass music
Q960323,Bacilos,Q547137,Latin pop
Q238288,4 The Cause,Q45981,rhythm and blues
Q948216,Carolina Liar,Q11366,alternative rock
Q221021,Yo La Tengo,Q183504,indie rock
Q597972,The Fire Theft,Q183504,indie rock
Q592983,Headlights,Q183504,indie rock
Q962524,Mentallo and the Fixer,Q487965,industrial music
Q959231,Ra,Q263734,nu metal
Q485811,Fall Out Boy,Q11366,alternative rock
Q958768,Rufio,Q487914,pop punk
Q136591,ZZ Top,Q852767,Southern rock
Q507327,Allman Brothers Band,Q9759,blues
Q137769,Fu Manchu,Q617240,stoner rock
Q948472,The Electric Hellfire Club,Q37073,pop music
Q830586,New York Dolls,Q83270,hard rock
Q375382,Taylor Hawkins and the Coattail Riders,Q11366,alternative rock
Q375555,We Came as Romans,Q183862,metalcore
Q220938,Cirith Ungol,Q38848,heavy metal
Q830586,New York Dolls,Q2045695,shock rock
Q838984,Fun,Q11366,alternative rock
Q837300,The Pretty Reckless,Q11366,alternative rock
Q948472,The Electric Hellfire Club,Q206159,psychedelic rock
Q595624,Junkyard,Q83270,hard rock
Q595536,Dangerous Toys,Q83270,hard rock
Q948472,The Electric Hellfire Club,Q188539,glam metal
Q948472,The Electric Hellfire Club,Q208494,industrial metal
Q493697,The String Cheese Incident,Q213714,bluegrass music
Q599609,The Romantics,Q187760,new wave
Q753598,Rascal Flatts,Q83440,country music
Q591677,Aus-Rotten,Q10922,hardcore punk
Q951170,Strike Anywhere,Q542703,melodic hardcore
Q375364,No Use for a Name,Q10922,hardcore punk
Q948472,The Electric Hellfire Club,Q11399,rock music
Q947955,The Residents,Q102932,avant-garde
Q375555,We Came as Romans,Q377910,post-hardcore
Q957718,Wheatus,Q11399,rock music
Q953444,Team Sleep,Q11366,alternative rock
Q376867,Timbuk3,Q187760,new wave
Q376035,American Hi-Fi,Q11366,alternative rock
Q507327,Allman Brothers Band,Q193355,blues rock
Q846016,Hieroglyphics,Q429264,West Coast hip hop
Q375950,Velvet Acid Christ,Q1403744,electro-industrial
Q376035,American Hi-Fi,Q487914,pop punk
Q954429,Lucy Pearl,Q45981,rhythm and blues
Q507327,Allman Brothers Band,Q83270,hard rock
Q948873,Himsa,Q183862,metalcore
Q947322,Stolen Babies,Q641357,avant-garde metal
Q735023,Blackmore's Night,Q186472,folk rock
Q830379,Modern Jazz Quartet,Q327547,cool jazz
Q949311,Cop Shoot Cop,Q968730,industrial rock
Q485231,Cannibal Corpse,Q483251,death metal
Q591691,Sublime,Q460674,ska punk
Q735091,Six Feet Under,Q483251,death metal
Q957090,The Obsessed,Q186170,doom metal
Q595862,God Forbid,Q483352,thrash metal
Q591691,Sublime,Q7308175,Reggae rock
Q735023,Blackmore's Night,Q641318,Medieval folk rock
Q942910,Rocket from the Crypt,Q3071,punk rock
Q752410,House of Pain,Q966564,hardcore hip hop
Q955594,Havok,Q483352,thrash metal
Q507327,Allman Brothers Band,Q852767,Southern rock
Q837988,Diva Destruction,Q485395,gothic rock
Q943592,Wreckx-n-Effect,Q11401,hip hop music
Q1001230,Fieldy's Dreams,Q11401,hip hop music
Q846373,The Temptations,Q7749,rock and roll
Q846373,The Temptations,Q11399,rock music
Q941421,The Faint,Q183504,indie rock
Q1052139,The Roots,Q11401,hip hop music
Q378958,The Black Crowes,Q83270,hard rock
Q378958,The Black Crowes,Q193355,blues rock
Q378958,The Black Crowes,Q11399,rock music
Q953824,Terrorfakt,Q487965,industrial music
Q1052139,The Roots,Q131272,soul music
Q595862,God Forbid,Q1046838,New Wave of American Heavy Metal
Q593809,Assemblage 23,Q828243,futurepop
Q507327,Allman Brothers Band,Q1096120,classic rock
Q597911,Chelsea Grin,Q475221,deathcore
Q493729,Fort Minor,Q438503,alternative hip hop
Q838206,Little Charlie & the Nightcats,Q640097,electric blues
Q593809,Assemblage 23,Q487965,industrial music
Q488833,Anberlin,Q11366,alternative rock
Q378958,The Black Crowes,Q852767,Southern rock
Q219874,Village People,Q58339,disco
Q942738,Mortician,Q888612,deathgrind
Q1052139,The Roots,Q164444,funk
Q994671,Brutal Truth,Q188534,grindcore
Q490289,Bravehearts,Q11401,hip hop music
Q501408,Margot & the Nuclear So and So's,Q183504,indie rock
Q603402,Dem Franchize Boyz,Q1253172,Southern hip hop
Q603343,We Are the Fallen,Q178145,gothic metal
Q502660,Lower Class Brats,Q3071,punk rock
Q505971,Fear Before,Q3071,punk rock
Q649726,The Showdown,Q183862,metalcore
Q1052139,The Roots,Q268253,neo soul
Q963046,Fu-Schnickens,Q11401,hip hop music
Q967122,Steelheart,Q83270,hard rock
Q593809,Assemblage 23,Q1403744,electro-industrial
Q846373,The Temptations,Q45981,rhythm and blues
Q1052139,The Roots,Q255406,jazz rap
Q950309,The B-52's,Q484641,pop rock
Q489293,The Call,Q187760,new wave
Q506314,Deicide,Q483251,death metal
Q485811,Fall Out Boy,Q487914,pop punk
Q965445,Scissors for Lefty,Q183504,indie rock
Q488728,Dirty Dozen Brass Band,Q8341,jazz
Q254371,Papa Roach,Q38848,heavy metal
Q1052139,The Roots,Q438503,alternative hip hop
Q654147,All That Remains,Q483251,death metal
Q494234,Pretty Girls Make Graves,Q1899347,post-punk revival
Q751819,Hem,Q11366,alternative rock
Q950309,The B-52's,Q187760,new wave
Q951665,The Mavericks,Q83440,country music
Q1052139,The Roots,Q8341,jazz
Q973818,Soul Coughing,Q11366,alternative rock
Q378958,The Black Crowes,Q2095173,jam band
Q378958,The Black Crowes,Q2266376,boogie rock
Q846373,The Temptations,Q164444,funk
Q966231,Skinless,Q483251,death metal
Q969044,Capharnaum,Q1076092,technical death metal
Q653480,Four Tops,Q131272,soul music
Q1052139,The Roots,Q11366,alternative rock
Q751272,Sworn Enemy,Q183862,metalcore
Q969914,Dwarves,Q10922,hardcore punk
Q845515,Transatlantic,Q49451,progressive rock
Q845759,Temple of the Dog,Q11366,alternative rock
Q654147,All That Remains,Q183862,metalcore
Q593809,Assemblage 23,Q1298934,synth-pop
Q969426,Trixter,Q83270,hard rock
Q489653,Andain,Q817138,electronica
Q491892,Static-X,Q208494,industrial metal
Q384424,Hey Violet,Q11366,alternative rock
Q965154,Terrorizer,Q188534,grindcore
Q976341,Superjoint,Q483352,thrash metal
Q846373,The Temptations,Q131272,soul music
Q973995,Naked City,Q8341,jazz
Q254371,Papa Roach,Q83270,hard rock
Q494743,P.O.D.,Q20378,alternative metal
Q163597,Horse the Band,Q3071,punk rock
Q385916,The Briefs,Q3071,punk rock
Q972352,Brass Construction,Q164444,funk
Q846373,The Temptations,Q546359,doo-wop
Q951665,The Mavericks,Q438476,alternative country
Q951188,Success Will Write Apocalypse Across the Sky,Q483251,death metal
Q975499,Goatsnake,Q617240,stoner rock
Q651398,Void,Q10922,hardcore punk
Q384762,Soulsonic Force,Q11401,hip hop music
Q384603,Bonded by Blood,Q483352,thrash metal
Q951410,VHS or Beta,Q11399,rock music
Q652294,Golden Gate Quartet,Q180268,gospel music
Q973113,Eyehategod,Q720959,sludge metal
Q657617,Platypus,Q49451,progressive rock
